File Name,E(0),E(s),Q(0),Q(s)
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.001000.4241,-248.210202,-479.997783,701.503299,703.031075
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.002000.4243,-247.50884,-479.302855,701.219486,702.760132
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.003000.4245,-246.807762,-478.608203,700.936413,702.489882
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.004000.4247,-246.106967,-477.913827,700.654077,702.220321
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.005000.4249,-245.406454,-477.219726,700.372473,701.951445
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.006000.4251,-244.706222,-476.525901,700.091598,701.683251
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.007000.4253,-244.006271,-475.832349,699.811448,701.415735
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.009000.4257,-242.607206,-474.446063,699.253309,700.882726
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.008000.4255,-243.306599,-475.13907,699.532019,701.148895
Ni56__magnus_Ni56_e12_E16_s500_hw16_A56_lda0.010000.4259,-241.908092,-473.753328,698.975313,700.617226
